Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
168874,2,2,1,30,25,13651,1,14,3,45174,62370,1,4,23,27,25,19,2,18,1,3,1,2,2014-09-22,2018-11-02,2014-10-10,2018-10-16
168874,2,1,1,30,25,13651,1,14,3,45174,62370,1,4,23,27,25,19,2,18,1,3,1,2,2014-09-22,2018-11-02,2014-10-10,2018-10-16
170412,2,1,8,31,27,34201,3,15,2,45333,54898,1,4,5,30,27,22,5,5,4,3,1,1,2014-10-02,2018-11-02,2014-10-08,2018-10-16
170412,2,2,8,31,27,34201,3,15,2,45333,54898,1,4,5,30,27,22,5,5,4,3,1,1,2014-10-02,2018-11-02,2014-10-08,2018-10-16
170989,8,1,1,32,28,10209,1,13,3,8.75,10.36,2,16,20,31,28,23,2,20,17,1,1,1,2014-10-09,2018-11-02,2014-10-16,2018-10-16
170989,8,2,1,32,28,10209,1,13,3,8.75,10.36,2,16,20,31,28,23,2,20,17,1,1,1,2014-10-09,2018-11-02,2014-10-16,2018-10-16
171040,5,1,1,33,22,10251,6,13,2,32086,51981,1,8,25,32,22,24,2,21,1,11,1,1,2014-10-08,2018-11-02,2014-10-08,2018-10-16
171287,2,2,1,34,25,13651,1,14,2,45174,62370,1,4,23,33,25,25,2,18,18,3,1,2,2014-10-10,2018-11-02,2014-10-15,2018-10-16
171287,2,1,1,34,25,13651,1,14,2,45174,62370,1,4,23,33,25,25,2,18,18,3,1,2,2014-10-10,2018-11-02,2014-10-15,2018-10-16
171944,6,1,1,26,29,13611,1,16,1,43292,53000,1,14,22,34,29,26,2,22,16,12,1,1,2014-10-30,2018-11-02,2014-10-30,2018-10-16
